index,Reference Number,Easting,Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle 1,Casualty Class 1,Casualty Severity 1,Sex of Casualty 1,Age of Casualty 1,Type of Vehicle 2,Casualty Class 2,Casualty Severity 2,Sex of Casualty 2,Age of Casualty 2,Type of Vehicle 3,Casualty Class 3,Casualty Severity 3,Sex of Casualty 3,Age of Casualty 3,Type of Vehicle 4,Casualty Class 4,Casualty Severity 4,Sex of Casualty 4,Age of Casualty 4,Type of Vehicle 5,Casualty Class 5,Casualty Severity 5,Sex of Casualty 5,Age of Casualty 5,Type of Vehicle 6,Casualty Class 6,Casualty Severity 6,Sex of Casualty 6,Age of Casualty 6
100,55B1045,409193,425879,3,11/05/2018,1415,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 50cc and up to 125cc,Driver or rider,Serious,Male,23,Car,not known,not known,not known,not known,Goods vehicle 3.5 tonnes mgw and under,not known,not known,not known,not known,,,,,,,,,,,,,,,
101,55C0614,390966,426251,1,12/05/2018,1018,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,32,,,,,,,,,,,,,,,,,,,,,,,,,
102,55F0301,409426,423450,1,15/05/2018,812,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,10,,,,,,,,,,,,,,,,,,,,,,,,,
103,55F0771,413600,423174,2,15/05/2018,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,45,Goods vehicle 7.5 tonnes mgw and over,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
104,55F1579,411810,427835,3,15/05/2018,1815,A,Dry,Daylight: street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,42,Goods vehicle 3.5 tonnes mgw and under,Driver or rider,Slight,Female,54,Car,Driver or rider,Slight,Male,45,,,,,,,,,,,,,,,
105,55H1114,404376,421097,2,17/05/2018,1518,A,Dry,Daylight: street lights present,Fine without high winds,Motorcycle over 500cc,Driver or rider,Serious,Male,33,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
106,55I1762,404480,423357,1,18/05/2018,1931,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,25,,,,,,,,,,,,,,,,,,,,,,,,,
107,55I1816,414085,423184,2,18/05/2018,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,59,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
108,55J1548,416483,422134,2,19/05/2018,1853,Motorway,Dry,Daylight: street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,37,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
109,55J2098,407636,424223,2,19/05/2018,2300,A,Dry,Darkness: street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,22,Car,not known,not known,not known,not known,,,,,,,,,,,,,,,,,,,,
